,SOI
1876-01-01,1.0227487034753944
1876-02-01,0.9891246447842444
1876-03-01,0.37756106180691473
1876-04-01,0.9276244452636202
1876-05-01,0.9636544933638506
1876-06-01,2.121875023916663
1876-07-01,-0.48190917497057423
1876-08-01,1.4615162806365176
1876-09-01,0.9611795486965715
1876-10-01,-0.5915959251587792
1876-11-01,-0.2590229952805041
1876-12-01,-0.2469538280587846
1877-01-01,-0.7991518209340178
1877-02-01,-0.36969757762984456
1877-03-01,-0.05995604844150804
1877-04-01,-0.45479643428692323
1877-05-01,0.655285055487464
1877-06-01,-1.3145806703443133
1877-07-01,-0.959272036969962
1877-08-01,-0.49805862077579627
1877-09-01,-1.6244496466274967
1877-10-01,-1.3217301365891478
1877-11-01,-1.135416588334964
1877-12-01,-1.143537789801143
1878-01-01,-0.7163381607336178
1878-02-01,-1.5081702504631882
1878-03-01,-1.0322162934380277
1878-04-01,-0.3946911786543444
1878-05-01,0.5011003365492268
1878-06-01,0.07636568209471317
1878-07-01,1.7685157458838705
1878-08-01,1.522752996305596
1878-09-01,1.6356915126941127
1878-10-01,1.149493348251957
1878-11-01,1.318485472217484
1878-12-01,1.6877799841219583
1879-01-01,1.146969193776018
1879-02-01,1.246199119294982
1879-03-01,1.5442733558027273
1879-04-01,1.168045467794209
1879-05-01,0.5011003365492268
1879-06-01,2.0400546502438557
1879-07-01,2.382267997025985
1879-08-01,2.441303731342605
1879-09-01,1.7481101733604016
1879-10-01,1.5426425390221603
1879-11-01,0.8510755559217986
1879-12-01,-0.4828969758857097
1880-01-01,0.9813418733751709
1880-02-01,0.7320501702734653
1880-03-01,1.6414993803023459
1880-04-01,0.6270981671004526
1880-05-01,1.5033010096475927
1880-06-01,1.303671287187939
1880-07-01,0.26823246531418904
1880-08-01,1.6452264276438917
1880-09-01,0.7363422273640577
1880-10-01,0.587851647151703
1880-11-01,0.6173705977739559
1880-12-01,-0.1525765689281004
1881-01-01,-0.5921176704329942
1881-02-01,-0.29624772776956826
1881-03-01,0.5234000985563706
1881-04-01,0.2664666333047062
1881-05-01,-0.11563853920354637
1881-06-01,-0.08727506525108748
1881-07-01,-0.48190917497057423
1881-08-01,-0.804242199121466
1881-09-01,-1.2871936646286941
1881-10-01,-2.0518643480194525
1881-11-01,0.6173705977739559
1881-12-01,0.9327619110757872
1882-01-01,-0.5507108403327707
1882-02-01,0.03427659660140383
1882-03-01,0.8150781720553375
1882-04-01,0.32657188893728506
1882-05-01,0.9636544933638506
1882-06-01,-0.8236584283070973
1882-07-01,-2.118581844682982
1882-08-01,-2.1514499438424406
1882-09-01,-1.399612325294919
1882-10-01,-0.08611839416856344
1882-11-01,0.20838692101518133
1882-12-01,0.9799505406411829
1883-01-01,0.5672735723730296
1883-02-01,0.8422249450637753
1883-03-01,-1.9072505139349285
1883-04-01,1.2882559790594348
1883-05-01,1.6574857285857423
1883-06-01,0.7309286714777298
1883-07-01,-0.9592720369700395
1883-08-01,0.4204921142612824
1883-09-01,-0.7813096916305221
1883-10-01,0.587851647151703
1883-11-01,0.44209187916302406
1883-12-01,-1.379480937628068
1884-01-01,-1.047592801535312
1884-02-01,-0.2595228028394927
1884-03-01,1.2039822700539784
1884-04-01,-0.8755332237153851
1884-05-01,0.42400797708010823
1884-06-01,1.303671287187846
1884-07-01,-0.2091303966851987
1884-08-01,-0.1918750424301266
1884-09-01,-0.6688910309642971
1884-10-01,0.5316874770417287
1884-11-01,-0.14217051620661594
1884-12-01,-1.143537789801143
1885-01-01,-1.3788474423370531
1885-02-01,0.25462614618202406
1885-03-01,0.8150781720553375
1885-04-01,0.2063613776719907
1885-05-01,-0.11563853920354637
1885-06-01,-1.0691195493257053
1885-07-01,-0.4137144803992885
1885-08-01,-0.620532052114092
1885-09-01,-0.38784437929863896
1885-10-01,-1.4902226469191984
1885-11-01,-1.427547786019784
1885-12-01,0.5080642449873328
1886-01-01,-0.012422049029958792
1886-02-01,0.25462614618202406
1886-03-01,0.6206261230560446
1886-04-01,0.5669929114678054
1886-05-01,0.8865621338947319
1886-06-01,0.8945694188234373
1886-07-01,0.8819847164563808
1886-08-01,1.5839897119747437
1886-09-01,1.2422262003622297
1886-10-01,1.3741500286921098
1886-11-01,0.9095017954587759
1886-12-01,1.3574595771642952
1887-01-01,1.1055623636757943
1887-02-01,0.9891246447842027
1887-03-01,1.2525952823037603
1887-04-01,0.9276244452636202
1887-05-01,-0.11563853920354637
1887-06-01,0.8945694188234373
1887-07-01,0.6092059381710053
1887-08-01,0.7266756926068825
1887-09-01,0.4552955756983356
1887-10-01,0.587851647151703
1887-11-01,-0.4927279534283468
1887-12-01,0.5080642449873328
1888-01-01,-0.21945619953102943
1888-02-01,-0.03917325325883074
1888-03-01,-0.6919252076892237
1888-04-01,-1.4765857800417204
1888-05-01,-0.6552850554872887
1888-06-01,-1.2327602966715059
1888-07-01,-1.641218982683517
1888-08-01,-0.5592953364449441
1888-09-01,-0.8937283522968109
1888-10-01,-1.2094017963690713
1888-11-01,-1.135416588334964
1888-12-01,-0.19976519849344251
1889-01-01,-2.2069840443413358
1889-02-01,-0.0024483283287134536
1889-03-01,-2.1017025629342214
1889-04-01,0.2063613776719907
1889-05-01,0.11563853920372166
1889-06-01,2.612797265953972
1889-07-01,0.2682324653142666
1889-08-01,0.48172882993036065
1889-09-01,1.0173888790297159
1889-10-01,0.5316874770417287
1889-11-01,2.0196003466610786
1889-12-01,2.0652890206450705
1890-01-01,1.85088530547963
1890-02-01,0.9891246447842027
1890-03-01,1.6414993803024012
1890-04-01,0.747308678365747
